Tuesday over 2K,,Tuesday 4-7 kohm,,Thursday 1-50 kohm,,Thursday 4-7,
107.231033,8.75133229,157.971909,0.075265723,76.547966,2.641247548,23.192358,0.000588654
107.448616,8.651151992,158.116089,0.075344538,76.663185,2.617116378,23.21203,0.000589448
107.677467,8.590177573,158.254105,0.075518693,76.779015,2.616460177,23.227709,0.000589669
107.879234,8.446362834,158.390549,0.075446287,76.908073,2.588699763,23.260626,0.000589807
108.094734,8.383800282,158.524536,0.075498919,77.018478,2.560888522,23.285505,0.000586917
108.308441,8.396758739,158.669357,0.075552788,77.131882,2.553123189,23.301182,0.000586359
108.527649,8.350284,158.805222,0.075724108,77.240768,2.54222507,23.326086,0.000586695
108.751167,8.26968497,158.943558,0.075841534,77.354164,2.501993218,23.360216,0.000588132
108.968002,8.161327659,159.07634,0.075758658,77.468178,2.495918114,23.376513,0.000587774
109.192474,8.100824708,159.216843,0.075916037,77.592148,2.484372399,23.401413,0.000588671
109.416672,7.9967043,159.35675,0.075947286,77.722443,2.45810538,23.428446,0.000587411
109.644547,7.996450917,159.487991,0.075959676,77.856056,2.435602699,23.459797,0.000586762
109.876762,7.898869044,159.647079,0.076046129,77.966461,2.423553627,23.492682,0.000585798
110.089149,7.8654373,159.760742,0.07606499,78.08078,2.413198565,23.514505,0.000586887
110.298508,7.874972167,159.882446,0.076118288,78.194794,2.405327044,23.546473,0.000587505
110.51947,7.74436033,160.003525,0.076162552,78.310913,2.389802855,23.56522,0.000588833
110.728897,7.656433681,160.119675,0.076118253,78.428864,2.373461332,23.592896,0.000589223
110.949608,7.59044641,160.24942,0.076199581,78.539566,2.361300127,23.61809,0.000585973
111.151756,7.546973992,160.379471,0.076196613,78.656601,2.342447518,23.639912,0.000587199
111.367355,7.488106864,160.504608,0.076399598,78.768196,2.33530677,23.680157,0.000587458
111.593048,7.409270042,160.632202,0.076465193,78.889465,2.332958242,23.721342,0.000585639
111.81234,7.349148848,160.756683,0.076424141,79.001968,2.301456184,23.758533,0.000584259
112.036873,7.364227377,160.89389,0.076560166,79.117218,2.283808723,23.794483,0.000585003
112.256554,7.253106034,161.026123,0.07662608,79.226715,2.272712902,23.839634,0.000584005
112.489075,7.190499196,161.13028,0.076652081,79.347366,2.258778262,23.874664,0.000583743
112.727776,7.133836931,161.239349,0.076661072,79.458984,2.241487034,23.920132,0.00058546
112.946312,7.054432096,161.363586,0.076750505,79.581146,2.231140848,23.95977,0.00058531
113.169464,6.996738472,161.482544,0.076699398,79.696091,2.220935319,24.012623,0.000584384
113.377937,6.961296605,161.612656,0.076832602,79.813431,2.192935229,24.065147,0.000584291
113.618279,6.929163467,161.713715,0.076834732,79.936516,2.184006198,24.104784,0.000581433
113.827736,6.84098031,161.777985,0.077006824,80.061409,2.175127021,24.153017,0.000582876
114.050713,6.788185357,161.899155,0.076928492,80.186333,2.15773004,24.196018,0.000581176
114.279495,6.738967222,162.023712,0.076972504,80.299446,2.1454483,24.235325,0.000580338
114.512604,6.683451736,162.135605,0.077098123,80.398415,2.12625009,24.278324,0.000578663
114.756454,6.628886572,162.246552,0.07714233,80.508217,2.133453962,24.316416,0.00058104
114.964836,6.587397568,162.370819,0.077026979,80.626198,2.103849098,24.346201,0.000580471
115.181839,6.477114684,162.500046,0.077134317,80.74958,2.088846088,24.391972,0.000579623
115.40464,6.440119355,162.634216,0.077238328,80.869652,2.072594953,24.428497,0.000580152
115.625351,6.41514147,162.772079,0.077433593,80.982521,2.059217413,24.465963,0.00058151
115.860161,6.31168712,162.900375,0.07744959,81.096245,2.048711598,24.514181,0.000582243
116.091957,6.307677126,163.038284,0.077506729,81.216644,2.033159182,24.553177,0.000579766
116.323479,6.257753484,163.163162,0.077546742,81.329491,2.018617498,24.599857,0.000580352
116.555008,6.195301551,163.288696,0.077629655,81.460442,2.007087555,24.641922,0.000580878
116.813255,6.141183388,163.432175,0.077597691,81.56665,1.990955776,24.682751,0.000582977
117.062943,6.10787967,163.571625,0.077684631,81.697319,1.980772249,24.726648,0.000580265
117.295494,6.064470861,163.709518,0.077761349,81.82164,1.963703241,24.774557,0.000579576
117.534531,6.0262753,163.847458,0.077798499,81.954704,1.957209549,24.813227,0.000579278
