Tuesday over 2K,,Thursday 1-50 kohm,,Thursday 4-7,
97.748009,12.42794032,70.761665,9.398998819,22.364119,0.000592952
97.940918,12.47154711,70.884438,9.314094143,22.385046,0.000592791
98.136551,12.25058344,71.016281,9.248167932,22.399195,0.000591702
98.343117,12.2268989,71.144791,9.204368246,22.416721,0.000592384
98.541794,12.06926539,71.277222,9.181455334,22.438568,0.000591476
98.742012,12.16105483,71.414169,9.060185748,22.45088,0.00059098
98.92955,11.98239849,71.552338,8.991918106,22.469646,0.000591597
99.1119,11.76106553,71.668755,8.914401558,22.492731,0.000591523
99.310364,11.76082092,71.794861,8.815075691,22.508095,0.000590305
99.517357,11.67849244,71.92485,8.768503306,22.522566,0.000590138
99.71888,11.4556417,72.058182,8.793328735,22.540388,0.000590224
99.915901,11.38988021,72.191811,8.739519729,22.559477,0.000589735
100.11322,11.43459634,72.313675,8.596403353,22.573923,0.000589002
100.305687,11.3005755,72.448494,8.554716506,22.589609,0.000590451
100.520981,11.21273508,72.584541,8.47706666,22.59976,0.000591464
100.714714,11.14196371,72.718468,8.408080519,22.619467,0.000591318
100.885094,11.12234582,72.871994,8.312917781,22.62808,0.00059169
101.075523,11.08334106,73.018631,8.245627711,22.646845,0.000591257
101.293312,10.93090643,73.159187,8.158914806,22.661289,0.000589242
101.502602,10.8413329,73.285248,8.096758803,22.679752,0.000591881
101.704956,10.76785983,73.391113,8.074651455,22.701593,0.000591832
101.894844,10.61329353,73.509941,8.017291903,22.708963,0.000589434
102.093269,10.5568019,73.627571,7.93198269,22.729263,0.000586249
102.282898,10.5320506,73.732536,7.855846201,22.754803,0.000588134
102.481354,10.41136028,73.848648,7.808316251,22.77416,0.000588953
102.674667,10.26006111,73.957222,7.734675866,22.785847,0.00058637
102.881393,10.32643467,74.07605,7.714151954,22.808306,0.000583904
103.082642,10.25955985,74.209969,7.664598336,22.828604,0.000588149
103.287888,10.12888532,74.337547,7.619552479,22.845528,0.00059012
103.497093,10.00136288,74.44854,7.585538891,22.862127,0.000588778
103.696579,10.00108524,74.562851,7.525148643,22.882725,0.000588286
103.900055,9.93215458,74.687714,7.459061287,22.892576,0.000587587
104.124535,9.74055544,74.807739,7.401444693,22.907639,0.000589611
104.352386,9.794186542,74.915726,7.345624899,22.929771,0.000586659
104.569931,9.713259907,75.042389,7.310829081,22.947933,0.000587663
104.763756,9.598795582,75.192284,7.263716774,22.959917,0.000587424
104.951218,9.535360444,75.32045,7.219315465,22.985449,0.000588911
105.157867,9.355727381,75.429642,7.147492951,22.995274,0.000586254
105.348991,9.344489899,75.536415,7.095509074,23.014652,0.000585826
105.555397,9.276137399,75.635033,7.049249063,23.034624,0.000587495
105.759659,9.240860737,75.746025,7.014147076,23.052464,0.000589469
105.978569,9.051497035,75.841621,6.963309043,23.074917,0.000587593
106.19445,9.077051548,75.949593,6.914304621,23.091515,0.000590495
106.396362,8.966870195,76.063301,6.851511903,23.100122,0.000587771
106.610184,8.901415823,76.188477,6.833057173,23.128405,0.000589189
106.824326,8.876318504,76.311211,6.759727788,23.145622,0.000587833
107.036049,8.871141215,76.438797,6.715228195,23.166857,0.000589582
107.231033,8.75133229,76.547966,6.70890742,23.192358,0.000588654
107.448616,8.651151992,76.663185,6.647612981,23.21203,0.000589448
107.677467,8.590177573,76.779015,6.645946197,23.227709,0.000589669
107.879234,8.446362834,76.908073,6.575433287,23.260626,0.000589807
108.094734,8.383800282,77.018478,6.504791275,23.285505,0.000586917
108.308441,8.396758739,77.131882,6.485066921,23.301182,0.000586359
108.527649,8.350284,77.240768,6.457385129,23.326086,0.000586695
108.751167,8.26968497,77.354164,6.355194113,23.360216,0.000588132
108.968002,8.161327659,77.468178,6.339763028,23.376513,0.000587774
109.192474,8.100824708,77.592148,6.310436307,23.401413,0.000588671
109.416672,7.9967043,77.722443,6.2437167,23.428446,0.000587411
109.644547,7.996450917,77.856056,6.18655871,23.459797,0.000586762
109.876762,7.898869044,77.966461,6.155953434,23.492682,0.000585798
110.089149,7.8654373,78.08078,6.129651031,23.514505,0.000586887
110.298508,7.874972167,78.194794,6.109656955,23.546473,0.000587505
110.51947,7.74436033,78.310913,6.070224701,23.56522,0.000588833
110.728897,7.656433681,78.428864,6.028716375,23.592896,0.000589223
110.949608,7.59044641,78.539566,5.997826275,23.61809,0.000585973
111.151756,7.546973992,78.656601,5.94993966,23.639912,0.000587199
111.367355,7.488106864,78.768196,5.931801785,23.680157,0.000587458
111.593048,7.409270042,78.889465,5.9258364,23.721342,0.000585639
111.81234,7.349148848,79.001968,5.845819519,23.758533,0.000584259
112.036873,7.364227377,79.117218,5.800994042,23.794483,0.000585003
112.256554,7.253106034,79.226715,5.772810073,23.839634,0.000584005
112.489075,7.190499196,79.347366,5.737415356,23.874664,0.000583743
112.727776,7.133836931,79.458984,5.69349473,23.920132,0.00058546
112.946312,7.054432096,79.581146,5.667214875,23.95977,0.00058531
113.169464,6.996738472,79.696091,5.641292296,24.012623,0.000584384
113.377937,6.961296605,79.813431,5.570170596,24.065147,0.000584291
113.618279,6.929163467,79.936516,5.547490389,24.104784,0.000581433
113.827736,6.84098031,80.061409,5.524936813,24.153017,0.000582876
114.050713,6.788185357,80.186333,5.480747567,24.196018,0.000581176
114.279495,6.738967222,80.299446,5.449551304,24.235325,0.000580338
114.512604,6.683451736,80.398415,5.400786843,24.278324,0.000578663
114.756454,6.628886572,80.508217,5.419085057,24.316416,0.00058104
114.964836,6.587397568,80.626198,5.343887146,24.346201,0.000580471
115.181839,6.477114684,80.74958,5.305778714,24.391972,0.000579623
115.40464,6.440119355,80.869652,5.264499978,24.428497,0.000580152
115.625351,6.41514147,80.982521,5.230520325,24.465963,0.00058151
115.860161,6.31168712,81.096245,5.203835002,24.514181,0.000582243
116.091957,6.307677126,81.216644,5.164331049,24.553177,0.000579766
116.323479,6.257753484,81.329491,5.127394408,24.599857,0.000580352
116.555008,6.195301551,81.460442,5.098107749,24.641922,0.000580878
116.813255,6.141183388,81.56665,5.057132183,24.682751,0.000582977
117.062943,6.10787967,81.697319,5.031265489,24.726648,0.000580265
117.295494,6.064470861,81.82164,4.987909314,24.774557,0.000579576
117.534531,6.0262753,81.954704,4.971414994,24.813227,0.000579278
117.773888,5.978403227,82.074806,4.951479058,24.853453,0.000578694
118.008415,5.908108374,82.197327,4.9145523,24.916985,0.000576394
118.218727,5.838349091,82.31955,4.901179415,24.972538,0.000577383
118.437332,5.790217625,82.436035,4.860584247,25.032396,0.000577935
118.669777,5.761607934,82.564606,4.837153112,25.090101,0.000576743
118.907471,5.713697821,82.684113,4.791333496,25.165899,0.00057751
119.159927,5.667563018,82.822639,4.76699933,25.24506,0.000576953
119.390923,5.598406513,82.948814,4.738382083,25.32761,0.000574743
119.605087,5.571641945,83.076157,4.706261694,25.402182,0.000574502
119.83371,5.530627502,83.189949,4.669958928,25.477045,0.000575058
120.074638,5.470325477,83.316109,4.631230284,25.538387,0.000573256
120.317719,5.399402498,83.41964,4.603260442,25.589329,0.000575961
120.563019,5.405589349,83.538879,4.581332604,25.636259,0.000574948
120.804039,5.342565209,83.659317,4.559765842,25.683483,0.000577155
121.029137,5.314570986,83.783371,4.531679168,25.738699,0.000575841
121.259148,5.236318134,83.908051,4.501616432,25.792681,0.000575492
121.502121,5.229143493,84.042969,4.481748768,25.832544,0.000575824
121.745132,5.187052222,84.16494,4.462418636,25.878551,0.000575322
121.979866,5.108344393,84.293846,4.425418678,25.940811,0.000574835
122.211868,5.081134051,84.421852,4.404703293,25.980078,0.000576417
122.437141,5.047749689,84.562538,4.385336597,26.02729,0.000577138
122.674438,5.009269497,84.696281,4.355616349,26.072071,0.000577803
122.933884,4.994022754,84.816154,4.324274161,26.11866,0.000575051
123.187263,4.947858934,84.94175,4.294363808,26.168337,0.000572445
123.424324,4.88517745,85.060715,4.268484053,26.238869,0.000570565
123.644844,4.837301265,85.175758,4.248959988,26.286686,0.000569386
123.882393,4.815740768,85.302269,4.215324098,26.338482,0.000569277
124.112785,4.779233781,85.432426,4.201578513,26.377737,0.000568136
124.360474,4.726321721,85.561081,4.173156665,26.424929,0.00056705
124.609711,4.677963644,85.695137,4.152797907,26.465096,0.000568988
124.839294,4.659823405,85.821671,4.130951136,26.51107,0.000568225
125.071091,4.634393543,85.947609,4.106189771,26.568695,0.000566619
125.312111,4.564153438,86.083824,4.081558678,26.622927,0.000568246
125.540565,4.542985597,86.201309,4.057830202,26.671345,0.000567008
125.773376,4.496365707,86.329659,4.03322958,26.73143,0.000565574
126.002502,4.454453411,86.458336,4.004439045,26.775248,0.000563385
126.243988,4.435482822,86.587616,3.975954822,26.833769,0.000564195
126.461449,4.383745702,86.72142,3.961600933,26.907299,0.000562011
126.702377,4.345075281,86.855545,3.922527326,26.970413,0.000561659
126.943947,4.305866332,86.989357,3.90475874,27.033524,0.000561467
127.199432,4.274834132,87.124695,3.88479157,27.084986,0.000561977
127.455269,4.23635074,87.269112,3.85891051,27.139513,0.000559574
127.700348,4.209660428,87.408096,3.840323015,27.19038,0.000561738
127.929123,4.165751045,87.549179,3.810258723,27.236622,0.000561622
128.175476,4.127549161,87.6791,3.785099134,27.294825,0.000561289
128.432037,4.084742898,87.818092,3.765525735,27.343828,0.00056008
128.676636,4.056793142,87.951035,3.745167884,27.393127,0.000560535
128.921585,4.046705228,88.080673,3.717031402,27.444874,0.000560892
129.145569,4.004035825,88.216362,3.69682481,27.492662,0.00056198
129.391159,3.976669044,88.345688,3.673035787,27.537357,0.000562245
129.630051,3.924718325,88.484711,3.655270533,27.577778,0.00056352
129.864624,3.906096104,88.618591,3.634099828,27.621557,0.000562453
130.110641,3.887151503,88.753098,3.615733841,27.663212,0.000562195
130.386948,3.837483317,88.880341,3.587569556,27.714323,0.000566272
130.640137,3.799534625,89.023598,3.572649386,27.77129,0.00056349
130.867447,3.781152976,89.167175,3.550690909,27.813236,0.000564485
131.103104,3.732796058,89.295044,3.529536932,27.86281,0.000562706
131.345612,3.711581116,89.444984,3.50371504,27.902304,0.000561767
131.578842,3.6807071,89.575874,3.481082483,27.956491,0.00056109
131.83902,3.651186306,89.711624,3.456830445,28.001787,0.000560641
132.100128,3.622113882,89.857643,3.432541037,28.059626,0.000560025
132.336594,3.606636879,89.998848,3.414341896,28.121138,0.000560718
132.581711,3.563351295,90.143074,3.39317452,28.182034,0.00056045
132.814804,3.535268548,90.28035,3.368162307,28.236502,0.000560614
133.055664,3.494081529,90.424583,3.348916885,28.28944,0.000560406
133.306763,3.473520397,90.574883,3.325535201,28.337488,0.000559156
133.558823,3.441564204,90.717926,3.311447371,28.389803,0.00055812
133.801956,3.41091804,90.860069,3.291843927,28.461098,0.000558641
134.049438,3.380804668,91.005249,3.27217773,28.511879,0.000558456
134.30687,3.36043417,91.162224,3.24422131,28.568182,0.000556952
134.552261,3.329814247,91.306213,3.229520813,28.614985,0.000556655
134.803558,3.301439249,91.463806,3.209926397,28.6679,0.0005555
135.05954,3.275542457,91.622948,3.191241294,28.713781,0.000555338
135.314621,3.249435832,91.776016,3.167608294,28.758749,0.000555968
135.563248,3.221076387,91.924271,3.146327952,28.811956,0.000554938
135.808807,3.195140602,92.076157,3.120066437,28.888407,0.000554848
136.061203,3.165457079,92.236511,3.102976857,28.951721,0.000554217
136.305557,3.137605394,92.388123,3.081022834,29.017157,0.000556532
136.554337,3.113578644,92.532478,3.057949866,29.08106,0.000553775
136.806198,3.083304665,92.678635,3.036529855,29.13763,0.000553149
137.073624,3.062434831,92.812096,3.019910661,29.203054,0.000552409
137.313797,3.028779424,92.954659,3.003581399,29.255943,0.000552437
137.547806,3.013820379,93.099953,2.980703953,29.328388,0.000555924
137.804764,2.975853853,93.253998,2.959093233,29.375772,0.000554972
138.069504,2.959180069,93.40567,2.943315932,29.445177,0.000555578
138.325638,2.929316765,93.553688,2.924377396,29.528313,0.000554267
138.567825,2.904600468,93.710518,2.90602027,29.606855,0.000553944
138.834213,2.881318531,93.862503,2.885560369,29.702803,0.000554732
139.077728,2.854019866,94.018143,2.869556782,29.789888,0.000552435
139.343567,2.832291416,94.165909,2.852851291,29.859241,0.000552592
139.584015,2.812656909,94.331848,2.833698611,29.922501,0.000551472
139.845932,2.786852498,94.483871,2.815579362,29.989405,0.000550524
140.095123,2.765896467,94.633179,2.797927192,30.045603,0.000550433
140.341873,2.739281633,94.779457,2.77775143,30.124109,0.000549724
140.579346,2.720881977,94.933319,2.761516119,30.188879,0.000549427
140.831131,2.69669394,95.087509,2.744896698,30.243862,0.000547114
141.081055,2.672057209,95.253815,2.729095765,30.304636,0.000547292
141.340988,2.649616179,95.413475,2.711258442,30.364788,0.000544273
141.600311,2.618816957,95.567703,2.693913681,30.413036,0.000543452
141.855026,2.60003133,95.728584,2.678115573,30.46924,0.000543671
142.120316,2.576870918,95.867943,2.658302806,30.577942,0.000542138
142.366989,2.557032217,96.02462,2.64268655,30.646627,0.00053977
142.61557,2.539307753,96.184639,2.626625827,30.712574,0.000540561
142.860458,2.513583042,96.33828,2.609821798,30.768442,0.000538004
143.125549,2.491325441,96.497726,2.592675466,30.82645,0.000537695
143.379837,2.475068898,96.663811,2.573972527,30.882309,0.000535667
143.633804,2.452317084,96.812347,2.556923782,30.956467,0.000533652
143.886581,2.428285833,96.984543,2.540919267,31.015696,0.000534965
144.158661,2.409139519,97.160988,2.52159848,31.084354,0.000532321
144.42363,2.388831974,97.308029,2.504179711,31.13257,0.000532067
144.663742,2.372791577,97.468742,2.485941318,31.191467,0.000532983
144.907288,2.350800465,97.624596,2.46998631,31.244873,0.000530755
145.156174,2.330239858,97.795944,2.453943896,31.312008,0.000530697
145.403839,2.315282741,97.957581,2.439195585,31.376068,0.000530261
145.675186,2.295834365,98.113785,2.424130832,31.433134,0.00052972
145.938141,2.276041332,98.285774,2.407117061,31.496273,0.000528548
146.215469,2.254939771,98.45565,2.39243787,31.558203,0.000526775
146.462936,2.241256963,98.624931,2.376273346,31.620743,0.00052723
146.70607,2.215050131,98.788757,2.360444242,31.689657,0.000525323
146.96138,2.199499189,98.953819,2.343480714,31.765923,0.000525775
147.234451,2.178414394,99.108566,2.329109173,31.830273,0.000526695
147.496674,2.162774808,99.275162,2.313409082,31.889725,0.000525438
147.749573,2.144141393,99.45636,2.299064775,31.961697,0.000524252
147.991608,2.123383525,99.622673,2.285842095,32.017498,0.000524361
148.233978,2.112611288,99.797203,2.270785648,32.083359,0.000525069
148.490707,2.090768133,99.972046,2.25489895,32.162621,0.000524897
148.754929,2.07331135,100.157532,2.239802602,32.240059,0.000523557
149.007019,2.055889959,100.319962,2.224411061,32.320538,0.000523323
149.266632,2.040063287,100.490311,2.208845208,32.389435,0.000522021
149.518173,2.025253769,100.657013,2.193546639,32.455566,0.000520991
149.787506,2.004504192,100.819199,2.178465273,32.579609,0.000520881
150.042526,1.99421281,100.984085,2.163346223,32.667976,0.0005207
150.319702,1.96791808,101.162697,2.150567265,32.754524,0.00052098
150.56575,1.95594194,101.340088,2.138069182,32.869999,0.000520327
150.820541,1.938953082,101.523872,2.121982818,32.95319,0.000519502
151.068481,1.924833454,101.719513,2.107462138,33.028721,0.000518386
151.31459,1.907780927,101.896667,2.091765332,33.108826,0.000517534
151.578506,1.89250126,102.073502,2.075841438,33.213303,0.000517477
151.834335,1.877910729,102.257355,2.06299423,33.288841,0.000516293
152.070526,1.862027038,102.442451,2.049394954,33.348236,0.000515233
152.328598,1.846368855,102.609627,2.034601052,33.414604,0.000515527
152.57515,1.832131485,102.792297,2.020492058,33.478855,0.000514429
152.844803,1.81832144,102.990509,2.006621106,33.541283,0.000513805
153.089203,1.803075664,103.178123,1.994632048,33.600662,0.000514068
153.352982,1.785618348,103.352654,1.981365749,33.669769,0.000513168
153.610855,1.771094452,103.540573,1.967513248,33.741001,0.000511463
153.853455,1.755319598,103.733681,1.955571286,33.819847,0.000510419
154.107346,1.742512163,103.921631,1.941399046,33.901119,0.000508961
154.375275,1.727509301,104.111145,1.926456651,33.978722,0.000508167
154.621063,1.71424958,104.289101,1.913513049,34.05389,0.000509366
154.879684,1.699269216,104.461929,1.900716254,34.119923,0.000508813
155.128326,1.684542421,104.631386,1.889652297,34.205147,0.000507015
155.381699,1.676481519,104.817619,1.876391445,34.288502,0.00050661
155.633209,1.658438309,105.009636,1.863788029,34.382206,0.000506901
155.903793,1.645931928,105.184952,1.850302209,34.458897,0.000506011
156.156601,1.632835729,105.346848,1.838091974,34.541634,0.000506784
156.408188,1.618705905,105.519768,1.826545781,34.61554,0.000504259
156.673843,1.604544075,105.708191,1.813096022,34.687618,0.000503718
156.930145,1.592253808,105.88662,1.802033651,34.758789,0.000503162
157.174896,1.578387936,106.078461,1.789605627,34.844872,0.000501438
157.43689,1.566809509,106.278824,1.778292966,34.922409,0.000500715
157.690765,1.556685139,106.466721,1.765556273,34.994789,0.000501252
157.952164,1.542735898,106.628159,1.753258402,35.081738,0.000501547
158.198257,1.528498522,106.815483,1.741162499,35.176598,0.000500879
158.4841,1.511417418,106.981514,1.730192362,35.26049,0.00049927
158.764328,1.501331184,107.160355,1.718264179,35.341652,0.000498668
159.004868,1.49009821,107.326431,1.70659048,35.423717,0.000497212
159.252609,1.477415446,107.51046,1.695333366,35.520069,0.000497993
159.502579,1.467065684,107.696976,1.683150208,35.609715,0.000496758
159.760376,1.453277444,107.88929,1.672089638,35.708191,0.000495827
160.022232,1.439275962,108.071571,1.660313495,35.811188,0.00049516
160.266312,1.43114871,108.26577,1.649493611,35.896866,0.000495987
160.523209,1.41884692,108.457214,1.637566375,35.984058,0.000496049
160.784225,1.407299859,108.634979,1.625929003,36.071541,0.000494123
161.028366,1.396272864,108.807892,1.615287197,36.166317,0.000492963
161.280334,1.385649845,108.961594,1.60389928,36.24741,0.000492446
161.529816,1.372636313,109.154961,1.592836429,36.327885,0.000490275
161.794983,1.363526645,109.357491,1.582011249,36.417763,0.000489223
162.073288,1.35086041,109.566467,1.571178508,36.502171,0.000489201
