Temperature,Conductivity,Temperature,Conductivity,Temperature,Conductivity
106.824326,0.112659319,76.438797,0.378189226,23.166857,0.185220317
107.036049,0.112725068,76.547966,0.378545536,23.192358,0.185512358
107.231033,0.114268316,76.663185,0.382035922,23.21203,0.185262273
107.448616,0.115591542,76.779015,0.382131735,23.227709,0.185192919
107.677467,0.116412029,76.908073,0.386229598,23.260626,0.185149605
107.879234,0.118394156,77.018478,0.39042405,23.285505,0.186061113
108.094734,0.119277651,77.131882,0.391611526,23.301182,0.186238427
108.308441,0.119093573,77.240768,0.393290303,23.326086,0.186131681
108.527649,0.119756406,77.354164,0.39961438,23.360216,0.185676989
108.751167,0.120923591,77.468178,0.400587047,23.376513,0.185790085
108.968002,0.122529084,77.592148,0.40244871,23.401413,0.185506735
109.192474,0.123444222,77.722443,0.406749229,23.428446,0.185904676
109.416672,0.125051517,77.856056,0.41050721,23.459797,0.18611048
109.644547,0.125055479,77.966461,0.41254811,23.492682,0.186416701
109.876762,0.126600402,78.08078,0.414318358,23.514505,0.186070792
110.089149,0.127138513,78.194794,0.41567423,23.546473,0.185874962
110.298508,0.126984576,78.310913,0.418374455,23.56522,0.185455737
110.51947,0.129126223,78.428864,0.421255006,23.592896,0.185333082
110.728897,0.130609111,78.539566,0.42342456,23.61809,0.186360908
110.949608,0.131744557,78.656601,0.426832388,23.639912,0.185972029
111.151756,0.132503438,78.768196,0.428137528,23.680157,0.185889849
111.367355,0.133545103,78.889465,0.428568523,23.721342,0.186467238
111.593048,0.134966062,79.001968,0.434434718,23.758533,0.186907673
111.81234,0.136070179,79.117218,0.437791684,23.794483,0.186669967
112.036873,0.13579157,79.226715,0.439929068,23.839634,0.186988885
112.256554,0.137871968,79.347366,0.442643036,23.874664,0.187073018
112.489075,0.139072403,79.458984,0.446057663,23.920132,0.186524146
112.727776,0.14017702,79.581146,0.448126109,23.95977,0.186572149
112.946312,0.141754855,79.696091,0.450185316,24.012623,0.186867838
113.169464,0.142923736,79.813431,0.455933424,24.065147,0.186897372
113.377937,0.1436514,79.936516,0.45779745,24.104784,0.187816158
113.618279,0.144317565,80.061409,0.459666244,24.153017,0.187351216
113.827736,0.14617788,80.186333,0.463372363,24.196018,0.18789919
114.050713,0.147314775,80.299446,0.466024964,24.235325,0.188170517
114.279495,0.148390691,80.398415,0.470232769,24.278324,0.188715223
114.512604,0.149623284,80.508217,0.46864497,24.316416,0.187943254
114.756454,0.150854897,80.626198,0.475239631,24.346201,0.188127508
114.964836,0.151805017,80.74958,0.47865301,24.391972,0.188402522
115.181839,0.154389732,80.869652,0.482406109,24.428497,0.188230739
115.40464,0.155276625,80.982521,0.485540022,24.465963,0.187791413
115.625351,0.155881208,81.096245,0.488029876,24.514181,0.187554737
115.860161,0.158436244,81.216644,0.491763004,24.553177,0.188356279
116.091957,0.158536967,81.329491,0.495305559,24.599857,0.188165991
116.323479,0.159801757,81.460442,0.498150898,24.641922,0.187995428
116.555008,0.161412643,81.56665,0.502187181,24.682751,0.187318623
116.813255,0.162835066,81.697319,0.50476902,24.726648,0.188194284
117.062943,0.163722937,81.82164,0.509156601,24.774557,0.18841793
117.295494,0.164894848,81.954704,0.510845897,24.813227,0.188514785
117.534531,0.16593998,82.074806,0.512902695,24.853453,0.188705213
117.773888,0.167268744,82.197327,0.516756522,24.916985,0.189458162
118.008415,0.169258913,82.31955,0.518166494,24.972538,0.189133547
118.218727,0.171281296,82.436035,0.522494174,25.032396,0.188953
118.437332,0.17270508,82.564606,0.525025132,25.090101,0.189343474
118.669777,0.17356266,82.684113,0.530045958,25.165899,0.189091853
118.907471,0.175018006,82.822639,0.532751691,25.24506,0.189274499
119.159927,0.176442679,82.948814,0.535969221,25.32761,0.190002462
119.390923,0.178622256,83.076157,0.539627228,25.402182,0.190082164
119.605087,0.179480306,83.189949,0.543822117,25.477045,0.189898323
119.83371,0.180811309,83.316109,0.548369828,25.538387,0.190495054
120.074638,0.182804479,83.41964,0.551701774,25.589329,0.189600545
120.317719,0.185205678,83.538879,0.554342409,25.636259,0.189934454
120.563019,0.184993705,83.659317,0.556964336,25.683483,0.189208225
120.804039,0.187176003,83.783371,0.560416318,25.738699,0.189639942
121.029137,0.188161942,83.908051,0.564158895,25.792681,0.189755036
121.259148,0.190973882,84.042969,0.566659821,25.832544,0.189645745
121.502121,0.191235907,84.16494,0.569114456,25.878551,0.189811167
121.745132,0.192787726,84.293846,0.573872697,25.940811,0.189972036
121.979866,0.195758141,84.421852,0.576571629,25.980078,0.189450583
122.211868,0.196806459,84.562538,0.579117907,26.02729,0.189213986
122.437141,0.19810808,84.696281,0.583069478,26.072071,0.188996052
122.674438,0.199629906,84.816154,0.587295546,26.11866,0.189900401
122.933884,0.200239376,84.94175,0.591386074,26.168337,0.190765163
